Genus,Family
Akashiwo,Gymnodiniaceae
Alexandrium,Gonyaulacaceae
Amoebophrya,Amoebophryaceae
Amphidinium,Gymnodiniaceae
Azadinium,Amphidomataceae
Brandtodinium,Thoracosphaeraceae
Ceratium,Ceratiaceae
Crypthecodinium,Crypthecodiniaceae
Dinophysis,Dinophysaceae
Durinskia,Peridiniaceae
Gambierdiscus,Ostreopsidaceae
Gonyaulax,Gonyaulacaceae
Gymnodinium,Gymnodiniaceae
Gyrodinium,Gymnodiniaceae
Heterocapsa,Heterocapsaceae
Karenia,Kareniaceae
Karlodinium,Kareniaceae
Kryptoperidinium,Kryptoperidiniaceae
Lessardia,Lessardiaceae
Lingulodinium,Gonyaulacaceae
Noctiluca,Noctilucaceae
Oxyrrhis,Oxyrrhinaceae
Pelagodinium,Suessiaceae
Peridinium,Peridiniaceae
Polarella,Suessiaceae
Prorocentrum,Prorocentraceae
Protoceratium,Protoceratiaceae
Pyrodinium,Ostreopsidaceae
Scrippsiella,Thoracosphaeraceae
Symbiodinium,Symbiodiniaceae
Thoracosphaera,Thoracosphaeraceae
Togula,Gymnodiniaceae
Uncultured,Uncultured
MALV-II,MALV-II
MALV-I,MALV-I
MALV-III,MALV-III
Abedinium,Other
Amoebophrya ceratii,Amoebophryaceae
Apicoporus,Dinophysaceae
Archaeperidinium,Protoperidiniaceae
Biecheleria,Suessiaceae
Blastodinium,Blastodiniaceae
Cochlodinium,Gymnodiniaceae
Coolia,Ostreopsidaceae
cryptoperidiniopsoid,Other
Dinophyta,Other
Esoptrodinium,Tovelliaceae
Glenodiniopsis,Peridiniales
Gymnodiniales,Other
heimii,Other
Hematodinium,Syndiniaceae
Hemidinium,Peridiniales
Herdmania,Protoperidiniaceae
Ichthyodinium,Dinophyceae
Lepidodinium,Gymnodiniaceae
MALV-V,MALV-V
Neoceratium,Ceratiaceae
Ornithocercus,Dinophysaceae
Paulsenella,Thoracosphaeraceae
Pentapharsodinium,Thoracosphaeraceae
Phalacroma,Oxyphysaceae
Pheopolykrikos,Gymnodiniaceae
Proterythropsis,Warnowiaceae
Protodinium,Suessiaceae
Protoperidinium,Protoperidiniaceae
Stoeckeria,Thoracosphaeraceae
Syndinium sp.,Syndiniaceae
Takayama,Brachidiniaceae
Thecadinium,Thecadiniaceae
Thecate,Thecadiniaceae
Warnowia,Warnowiaceae
