"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko01100","ko01100","Metabolic pathways","197/381","441/1127",5.6785442716005e-10,7.32532211036465e-08,6.69470482546586e-08,"K00001/K00008/K00013/K00020/K00028/K00029/K00031/K00034/K00052/K00074/K00088/K00101/K00116/K00131/K00133/K00134/K00150/K00208/K00222/K00228/K00234/K00239/K00241/K00252/K00265/K00275/K00276/K00286/K00294/K00295/K00301/K00323/K00324/K00325/K00380/K00381/K00382/K00390/K00392/K00411/K00430/K00480/K00486/K00525/K00548/K00549/K00559/K00588/K00600/K00602/K00615/K00627/K00630/K00632/K00641/K00643/K00645/K00703/K00750/K00760/K00764/K00789/K00793/K00797/K00801/K00812/K00826/K00831/K00855/K00860/K00861/K00872/K00874/K00901/K00902/K00914/K00927/K00928/K00931/K00958/K00998/K01053/K01071/K01077/K01091/K01100/K01178/K01190/K01196/K01201/K01202/K01230/K01251/K01425/K01427/K01520/K01580/K01588/K01601/K01610/K01623/K01626/K01631/K01647/K01648/K01681/K01696/K01711/K01714/K01733/K01735/K01736/K01740/K01754/K01756/K01760/K01772/K01783/K01792/K01800/K01803/K01823/K01830/K01845/K01858/K01885/K01895/K01899/K01903/K01921/K01923/K01933/K01939/K01945/K01950/K01951/K01952/K01958/K01962/K01968/K02144/K02146/K02147/K02149/K02150/K02151/K02154/K02155/K02256/K02265/K02437/K02438/K02636/K02641/K02690/K02716/K02719/K03372/K03403/K03462/K03527/K03644/K03841/K04126/K04712/K05298/K05350/K05366/K05533/K07127/K07516/K07750/K08099/K08281/K09458/K10046/K10807/K10808/K10960/K11188/K11204/K11262/K11540/K11787/K11788/K11808/K12309/K12524/K12526/K13524/K13788/K13998/K14286/K14519/K14520/K14652/K15230",197
"ko01110","ko01110","Biosynthesis of secondary metabolites","98/381","203/1127",1.70564374990573e-06,0.00011001402186892,0.000100543210520759,"K00001/K00013/K00031/K00052/K00088/K00111/K00116/K00133/K00134/K00150/K00222/K00228/K00234/K00239/K00241/K00265/K00276/K00286/K00382/K00430/K00548/K00549/K00559/K00588/K00600/K00602/K00615/K00627/K00632/K00641/K00643/K00703/K00760/K00764/K00789/K00793/K00801/K00812/K00826/K00861/K00872/K00901/K00927/K00928/K00998/K01053/K01091/K01196/K01580/K01588/K01610/K01623/K01626/K01647/K01648/K01681/K01696/K01714/K01733/K01735/K01736/K01754/K01756/K01760/K01772/K01783/K01792/K01803/K01823/K01845/K01885/K01895/K01899/K01903/K01923/K01933/K01945/K01952/K01962/K02437/K03403/K03527/K03841/K05350/K05369/K06892/K08099/K10046/K10960/K11188/K11262/K11787/K11788/K11808/K12524/K12526/K14652/K15230",98
"ko01130","ko01130","Biosynthesis of antibiotics","72/381","144/1127",1.27089433225287e-05,0.000546484562868732,0.000499439176183582,"K00001/K00031/K00116/K00133/K00134/K00150/K00208/K00222/K00234/K00239/K00241/K00252/K00265/K00286/K00382/K00559/K00600/K00602/K00615/K00627/K00632/K00641/K00645/K00764/K00801/K00812/K00826/K00831/K00927/K00928/K00931/K00958/K01053/K01091/K01588/K01610/K01623/K01626/K01647/K01648/K01681/K01696/K01714/K01735/K01736/K01754/K01756/K01783/K01792/K01803/K01823/K01858/K01895/K01899/K01903/K01923/K01933/K01945/K01952/K01962/K02437/K03527/K03841/K04126/K05955/K07750/K11262/K11787/K11788/K12524/K12526/K15230",72
"ko01120","ko01120","Microbial metabolism in diverse environments","76/381","160/1127",7.50433384328926e-05,0.00242014766446079,0.00221180365907473,"K00001/K00028/K00029/K00031/K00034/K00074/K00116/K00131/K00133/K00134/K00150/K00234/K00239/K00241/K00252/K00265/K00275/K00380/K00381/K00382/K00390/K00392/K00480/K00600/K00615/K00627/K00632/K00831/K00855/K00860/K00872/K00874/K00927/K00928/K00958/K01053/K01100/K01101/K01426/K01427/K01580/K01601/K01610/K01623/K01647/K01648/K01681/K01714/K01733/K01783/K01792/K01800/K01803/K01845/K01885/K01895/K01899/K01903/K01958/K01962/K03379/K03778/K03841/K05298/K07127/K07516/K08691/K11262/K12524/K12526/K13524/K13788/K14338/K14519/K14520/K15230",76
"ko01200","ko01200","Carbon metabolism","43/381","85/1127",0.00066954103408694,0.0172741586794431,0.0157870728037342,"K00027/K00028/K00029/K00031/K00034/K00116/K00131/K00134/K00150/K00234/K00239/K00241/K00382/K00600/K00615/K00627/K00831/K00855/K00874/K00927/K01053/K01100/K01455/K01601/K01610/K01623/K01647/K01681/K01754/K01783/K01803/K01895/K01899/K01903/K01958/K01962/K02437/K03841/K05298/K07516/K08691/K13788/K15230",43
"ko00710","ko00710","Carbon fixation in photosynthetic organisms","15/381","22/1127",0.000930925685650131,0.0200149022414778,0.0182918731215464,"K00028/K00029/K00134/K00150/K00615/K00855/K00927/K01100/K01601/K01610/K01623/K01783/K01803/K03841/K05298",15
"ko00190","ko00190","Oxidative phosphorylation","15/381","23/1127",0.00185761064246615,0.0342331104111619,0.0312860739783773,"K00234/K00239/K00241/K00411/K01535/K02144/K02146/K02147/K02149/K02150/K02151/K02154/K02155/K02256/K02265",15
"ko01230","ko01230","Biosynthesis of amino acids","36/381","72/1127",0.002470266227036,0.0398330429109555,0.0364039233457937,"K00013/K00031/K00052/K00133/K00134/K00150/K00265/K00286/K00548/K00549/K00600/K00615/K00789/K00812/K00826/K00831/K00872/K00927/K00928/K00931/K01623/K01626/K01647/K01681/K01696/K01714/K01733/K01735/K01736/K01754/K01760/K01783/K01803/K01958/K12524/K12526",36
"ko00020","ko00020","Citrate cycle (TCA cycle)","15/381","24/1127",0.00344069744369352,0.0467841071726212,0.0427565891744886,"K00031/K00116/K00234/K00239/K00241/K00382/K00627/K01610/K01647/K01648/K01681/K01899/K01903/K01958/K15230",15
"ko05120","ko05120","Epithelial cell signaling in Helicobacter pylori infection","8/381","10/1127",0.0036266749746218,0.0467841071726212,0.0427565891744886,"K02144/K02146/K02147/K02149/K02150/K02151/K02154/K02155",8
